uniprot_id,gene,embed_paratope,embed_wholeFv,naive_cdr_identity,biophys_hydrophobicity,biophys_charge,biophys_length,annotation_receptor_prior,is_positive
A0AV02,SLC12A8,0.8183635473251343,0.7906932830810547,0.375,0.3212885154061639,-10.000000000000004,714,0,0
A0FGR9,ESYT3,0.8255159854888916,0.8070844411849976,0.375,-0.2832957110609479,12.699999999999996,886,0,0
A0PJK1,SLC5A10,0.7563379406929016,0.7182717323303223,0.375,0.6270134228187937,1.9000000000000004,596,1,0
A0PK11,CLRN2,0.8263992667198181,0.7562152147293091,0.25,0.7577586206896555,-0.5000000000000013,232,0,0
A0ZSE6,TMEM30C,0.803464949131012,0.7337246537208557,0.3333333333333333,0.10176991150442481,2.3000000000000003,113,0,0
A1A5B4,ANO9,0.7970131039619446,0.7490720748901367,0.375,0.04923273657288968,8.199999999999996,782,0,0
A1A5C7,SLC22A23,0.8193386793136597,0.8061853647232056,0.375,0.3158892128279889,4.4999999999999964,686,0,0
A1L157,TSPAN11,0.7871789932250977,0.7906535267829895,0.3333333333333333,0.4501976284584973,1.8000000000000005,253,1,0
A2RRL7,TMEM213,0.7994163036346436,0.7376678586006165,0.25,0.19719626168224294,-2.6999999999999997,107,0,0
A2VDJ0,KIAA0922,0.8465718030929565,0.8029017448425293,0.4444444444444444,-0.3669359850839034,-7.80000000000001,1609,0,0
A3KFT3,OR2M5,0.5643801093101501,0.6428520679473877,0.375,0.7096153846153849,5.7,312,1,0
A4D2G3,OR2A25,0.5410885810852051,0.6274055242538452,0.3333333333333333,0.7961290322580655,7.1000000000000005,310,1,0
A4IF30,SLC35F4,0.8106184601783752,0.7753786444664001,0.4444444444444444,0.2969289827255277,12.299999999999997,521,0,0
A5X5Y0,HTR3E,0.8505828976631165,0.8488855957984924,0.375,0.12653508771929806,-1.7999999999999994,456,1,0
A6BM72,MEGF11,0.7763528823852539,0.7913435101509094,0.375,-0.2858237547892719,-24.699999999999974,1044,1,0
A6H8M9,CDHR4,0.823050856590271,0.8206896781921387,0.4444444444444444,0.06167512690355293,-21.09999999999999,788,2,0
A6NC51,TMEM150B,0.7912336587905884,0.7245340347290039,0.3333333333333333,0.8394849785407725,7.299999999999999,233,0,0
A6NCV1,OR6C74,0.5906432271003723,0.6545569896697998,0.375,0.7250000000000003,7.6,312,1,0
A6ND01,IZUMO1R,0.833927571773529,0.7908025979995728,0.4444444444444444,-0.2820000000000001,-3.4000000000000004,250,0,0
A6ND48,OR14I1,0.648802638053894,0.7063440084457397,0.375,0.805787781350483,7.800000000000001,311,1,0
A6NDA9,LRIT2,0.8565799593925476,0.8601937294006348,0.4444444444444444,0.05763636363636336,-12.300000000000002,550,1,0
A6NDH6,OR5H15,0.6280210614204407,0.681097686290741,0.4444444444444444,0.7587859424920129,6.7,313,1,0
