job,run,gene,uniprot_id,antigen_len,PAE_IF,epitope_reprod,hit,prediction_id
flagship,screen-flagship-P59543,TAS2R20,P59543,32,1.631,0.562,1,sab_pred_o1tefCWPudhyUZQb9alt
flagship,screen-flagship-Q9BXC0,HCAR1,Q9BXC0,31,1.658,0.63,1,sab_pred_ondWaNr5KZbm39s3uf8F
flagship,screen-flagship-Q8TDS4,HCAR2,Q8TDS4,33,1.851,0.489,0,sab_pred_KyjWMl3AeoghW2369sHK
flagship,screen-flagship-Q9NPC1,LTB4R2,Q9NPC1,30,1.864,0.523,0,sab_pred_aW6s0fJ3QW6HpwVKi8p7
anchor2,screen-anchor2-P41231,P2RY2,P41231,32,1.89,0.678,1,sab_pred_8TzBJ9isSRhij3VgifWd
anchor2,screen-anchor2-A6NM76,OR6C76,A6NM76,32,1.905,0.638,1,sab_pred_HluQfdIKyq0vm6GDXDOt
flagship,screen-flagship-P25103,TACR1,P25103,31,1.996,0.536,0,sab_pred_gsNz05dLYOKzIxBUzDvy
flagship,screen-flagship-Q92887,ABCC2,Q92887,41,2.008,0.404,0,sab_pred_ORAPGeEAN7kiF2efVNjI
flagship,screen-flagship-P08173,CHRM4,P08173,31,2.026,0.551,1,sab_pred_Hl3EvKSrUoFezOLs71HQ
flagship,screen-flagship-Q8WY07,SLC7A3,Q8WY07,34,2.04,0.697,1,sab_pred_yqKuSr4s9Y5sFcNfWCXy
flagship,screen-flagship-P32248,CCR7,P32248,35,2.057,0.438,0,sab_pred_7o7zgwzJIWwA88zOIFmt
flagship,screen-flagship-O14842,FFAR1,O14842,36,2.15,0.595,1,sab_pred_w2IsLRDQeWr6GDQw2bG0
flagship,screen-flagship-P55085,F2RL1,P55085,35,2.172,0.539,0,sab_pred_Fqsv3QwHAyCcYAfbSXxb
anchor2,screen-anchor2-PF4,PF4,P02776,70,2.193,0.725,1,sab_pred_oj3hNNe39HfT35ks6qSO
anchor2,screen-anchor2-P29275,ADORA2B,P29275,34,2.207,0.647,1,sab_pred_AxHLYdMI1SDEAfXcEqNX
flagship,screen-flagship-Q9H1Y3,OPN3,Q9H1Y3,40,2.219,0.709,1,sab_pred_IRktOW3eaaiHi4pt4T64
flagship,screen-flagship-Q8NGY3,OR6K3,Q8NGY3,41,2.225,0.718,1,sab_pred_jCsKTB36JQKCnlpuqkZJ
flagship,screen-flagship-P25929,NPY1R,P25929,37,2.283,0.657,1,sab_pred_a9FQbSFJSGdT4mycHnGZ
flagship,screen-flagship-P08908,HTR1A,P08908,38,2.351,0.529,0,sab_pred_0lMqlXqFxAW3nWWclugw
flagship,screen-flagship-Q6N075,MFSD5,Q6N075,33,2.36,0.529,0,sab_pred_Jpag9b1PyvTP79zePEVj
flagship,screen-flagship-P59534,TAS2R39,P59534,30,2.434,0.648,1,sab_pred_PnhzS0yuNcCBbpblxQkk
flagship,screen-flagship-Q9P1W3,TMEM63C,Q9P1W3,37,2.441,0.574,1,sab_pred_OEZRppboB6Bs9MLndE70
flagship,screen-flagship-Q8NGA4,GPR32P1,Q8NGA4,46,2.523,0.378,0,sab_pred_nL6VoL90HWE5BY9TazI9
flagship,screen-flagship-P43115,PTGER3,P43115,53,2.533,0.507,0,sab_pred_MazaoAw8hxCa6kGzVsbf
flagship,screen-flagship-Q99705,MCHR1,Q99705,44,2.536,0.485,0,sab_pred_kUHSjBP0jdumAo0IhWlR
flagship,screen-flagship-P50391,NPY4R,P50391,39,2.554,0.85,1,sab_pred_jtFGyMmkn0trtA1ZMonR
flagship,screen-flagship-Q8NFK1,GJC3,Q8NFK1,41,2.609,0.404,0,sab_pred_kdP2sC4Uv1ZvsDWv2J1I
flagship,screen-flagship-O00421,CCRL2,O00421,43,2.631,0.499,0,sab_pred_fgGmcY4y54NsJzSpo4Ia
flagship,screen-flagship-Q969N4,TAAR8,Q969N4,31,2.714,0.522,0,sab_pred_BikwaMQxntAFc6TixJj9
flagship,screen-flagship-P51686,CCR9,P51686,48,2.768,0.352,0,sab_pred_IjoOY4nwEigxSFd0vnsn
flagship,screen-flagship-Q99678,GPR20,Q99678,48,2.784,0.504,0,sab_pred_2N8boUWnXFRvb8EDF5Vm
flagship,screen-flagship-P46094,XCR1,P46094,31,2.869,0.612,1,sab_pred_qJOT6Gnm07d51j6PJtcD
anchor2,screen-anchor2-Q6PEY0,GJB7,Q6PEY0,35,2.871,0.582,1,sab_pred_D4x5jnlaKzCpaZxdtFOn
anchor2,screen-anchor2-P28221,HTR1D,P28221,38,2.889,0.553,1,sab_pred_3Qc3bGBvareZWeMpMUG3
flagship,screen-flagship-Q9NYW2,TAS2R8,Q9NYW2,32,2.89,0.551,1,sab_pred_xYz4eHQlmFjmT8qCVjoU
anchor2,screen-anchor2-Q8NH61,OR51F2,Q8NH61,39,2.918,0.388,0,sab_pred_E4gT0SKdbNmpFNN3zwoW
flagship,screen-flagship-P11166,SLC2A1,P11166,33,2.953,0.51,0,sab_pred_q0PElbOERx2XNXlnnAt4
flagship,screen-flagship-P29275,ADORA2B,P29275,34,2.995,0.557,1,sab_pred_yondZpH2Js6luV68i4sa
flagship,screen-flagship-Q5T3F8,TMEM63B,Q5T3F8,40,3.002,0.443,0,sab_pred_1gO49JD8zyQ6BdNXVcx4
flagship,screen-flagship-P32239,CCKBR,P32239,55,3.142,0.33,0,sab_pred_Wg9sJoXxF6WGIa2kDLAh
anchor2,screen-anchor2-O14842,FFAR1,O14842,36,3.159,0.605,1,sab_pred_blcKaWPzjR9RpBvg4AAx
flagship,screen-flagship-P49238,CX3CR1,P49238,31,3.172,0.707,1,sab_pred_4Z28CmXNbl453rZY0GlI
flagship,screen-flagship-O43613,HCRTR1,O43613,46,3.177,0.345,0,sab_pred_9Uc25sQcvsAYfAQvIMFQ
flagship,screen-flagship-Q8NGE7,OR9K2,Q8NGE7,50,3.19,0.389,0,sab_pred_i9jDWU8XzrMWCMClq5L3
flagship,screen-flagship-P17302,GJA1,P17302,32,3.195,0.461,0,sab_pred_5ryh3OGJuzwsWgmEJwfJ
flagship,screen-flagship-Q96RI9,TAAR9,Q96RI9,33,3.25,0.637,1,sab_pred_Y6JCIqLaund4eZqLV3ai
flagship,screen-flagship-Q5T1S8,NCMAP,Q5T1S8,30,3.284,0.463,0,sab_pred_Ljx0KFxGFeIJnLOy78cu
flagship,screen-flagship-O15438,ABCC3,O15438,37,3.288,0.438,0,sab_pred_aV1rkP2RK5ycv5hAdOVw
flagship,screen-flagship-P03999,OPN1SW,P03999,30,3.299,0.441,0,sab_pred_DioDaN2aBpJkyCUaXaST
flagship,screen-flagship-Q8NGQ3,OR1S2,Q8NGQ3,38,3.302,0.606,1,sab_pred_7T7z9lI6efj22MAzUfcT
flagship,screen-flagship-Q13733,ATP1A4,Q13733,49,3.308,0.791,1,sab_pred_ErP6VBjRhfCFabhjSDzp
flagship,screen-flagship-Q8IUW5,RELL1,Q8IUW5,34,3.323,0.644,1,sab_pred_sVZykzK0BQKhZ9bgX1hB
flagship,screen-flagship-P47898,HTR5A,P47898,36,3.328,0.46,0,sab_pred_CFSCq3k2N7STs8PJkEqW
anchor2,screen-anchor2-Q9GZQ6,NPFFR1,Q9GZQ6,43,3.333,0.534,0,sab_pred_i9mab3hHf5aCH2lvIkSB
flagship,screen-flagship-Q8NHB1,OR2V1,Q8NHB1,31,3.376,0.409,0,sab_pred_430m8wPSEVoeOIhRk3Wq
flagship,screen-flagship-P47901,AVPR1B,P47901,35,3.385,0.514,0,sab_pred_AUVNd3LEpsHqSfJgT9Jx
anchor2,screen-anchor2-P50052,AGTR2,P50052,45,3.4,0.411,0,sab_pred_CwTInufhD75VjDkWM6ss
flagship,screen-flagship-Q8NGC7,OR11H6,Q8NGC7,43,3.404,0.366,0,sab_pred_yUDuYfuKFR1Xk7SWGyD6
flagship,screen-flagship-Q04771,ACVR1,Q04771,103,3.416,0.483,0,sab_pred_Izsh3rnXzBVxzIQsxNa1
flagship,screen-flagship-Q49SQ1,GPR33,Q49SQ1,44,3.439,0.31,0,sab_pred_pDHt3mRiDvulzv52xHlp
flagship,screen-flagship-P61073,CXCR4,P61073,38,3.46,0.54,0,sab_pred_IpzrJIkDmh0FquCLWMMC
flagship,screen-flagship-Q71RS6,SLC24A5,Q71RS6,37,3.462,0.582,1,sab_pred_VuF93QJSKo5EhSD4OOZb
flagship,screen-flagship-P49685,GPR15,P49685,33,3.471,0.479,0,sab_pred_nUNNJtrfDFT04ofXfL4F
anchor2,screen-anchor2-P46094,XCR1,P46094,31,3.504,0.684,1,sab_pred_YyqqEDqjNEgN7suYZsS0
anchor2,screen-anchor2-Q9H2W1,MS4A6A,Q9H2W1,48,3.517,0.628,1,sab_pred_rjyjspWEiWnTAs8O93fc
flagship,screen-flagship-P08100,RHO,P08100,36,3.539,0.51,0,sab_pred_mCRrf2m2IKXuhdsIbAn5
anchor2,screen-anchor2-Q6ZSM3,SLC16A12,Q6ZSM3,56,3.561,0.616,1,sab_pred_3lZY93iXmCZTUJgYUCqo
flagship,screen-flagship-Q9NYW0,TAS2R10,Q9NYW0,37,3.596,0.471,0,sab_pred_9aX4vQTMPHndDMJsIJEj
flagship,screen-flagship-P43004,SLC1A2,P43004,93,3.643,0.175,0,sab_pred_el4uX8iF5ZbFipv4xYVE
